,reduced,Emotion
14,"The Indigenous People’s Front of Tripura (IPFT), an ally of the ruling BJP in the North-eastern state, on Sunday said it would discuss the possibility of merging or allying with the Tripura Indigenous Progressive Regional Alliance (TIPRA Motha) before the assembly elections due early next year.The TIPRA Motha, headed by royal scion Pradyot Kishore Debbarma, seeks a separate state for the indigenous people of Tripura.“Our conference to form a new executive committee will be held on April 2 and 3. There we would discuss whether the IPFT should merge or forge an alliance with TIPRA Motha as both parties demand a separate state,” IPFT spokesperson and assistant general secretary Mangal Debbarma told PTI.TIPRA Motha chief Pradyot Kishore Debbarma has several times called upon all tribal-based parties of the state to unite to fulfil the Greater Tipraland demand.The TIPRA Motha, formed early last year, swept the Tripura Tribal Areas Autonomous District Council (TTAADC) elections held in April 2021, winning 18 of the 28 seats over the ‘Greater Tipraland’ demand in a direct contest with the ruling BJP-IPFT alliance.The TTAADC comprises two-thirds of Tripura’s territory and is home to the tribals who constitute a third of the state’s estimated 40 lakh population.The ",neutral
15,"news, nationalThe Australian Greens have criticised the federal budget for backing billionaires and corporations while failing Indigenous communities. Greens Senator Dorinda Cox labelled the budget a ""last-ditch play for votes"" that failed to address cost-of-living pressures, with the government having been ""sold to the highest bidder"". ""This budget gives $37.6 billion in fossil fuel subsidies of taxpayer money that will go directly into the profits of the massive corporations that bankroll the Liberal Party's coffers,"" she said. ""But when you read the budget, it's clear that they can't keep people safe and they can't manage the economy. They are selling us out. ""This is another budget for the billionaires and the big corporations."" Among the headlines from the budget are a one-off $420 payment to more than 10 million Australians earning up to $126,000 a year, while the government will also halve the fuel excise to 22.1 cents for the next six months. Senator Cox on Wednesday became the first Indigenous woman to deliver the Greens' post-budget reply. She said Prime Minister Scott Morrison was ""hell bent on destroying country, the land, skies, and waters that First Nations people have cared for and sustained for generations"". The WA senator lashed ",neutral
16,"In Brazil, there are more than 300 Indigenous peoples. In her work, Associate Professor of Indigenous Studies Pirjo Kristiina Virtanen has been worked particularly with the Apurina and Manchineri peoples that belong to the Arawakan language group.Many studies have shown that biodiversity is at its richest in the world precisely in regions populated by Indigenous peoples. According to Virtanen, the actors of ‘nature’ are considered to have personhood in the Amazon, and interactively communicated with. In other words, ‘nature’ is not seen as something separate from people and social relationships.“They perceive biodiversity loss as the disappearance of many animals and plants resulting from dominant society’s unsustainable values and actions,” Virtanen says.Humans must consume natural resources in a sustainable manner, making it possible for the environment to guarantee their health and wellbeing. Consequently, the activities of non-Indigenous economic operators, such as the polluting mining industry, infrastructure constructors and large scale agriculture, are not in a reciprocal relationship with Amazonian nature.According to Virtanen, there is great variance between how the Indigenous people of the region talk about environmental matters in their communities in their native languages and how they address them at political events in the language of the majority population.“That’s because ",neutral
17,"To deal with climate change and biodiversity loss effectively and equitably, conservation needs to adopt a human rights-based approach, according to a new report co-authored by Indigenous and community organizations across Asia.Unlike spatial conservation targets such as “30 by 30,” a rights-based approach would recognize the ways in which Indigenous people lead local conservation efforts, and prioritize their tenure rights in measuring conservation success.Without tenure rights, strict spatial conservation targets could lead to human rights abuses, widespread evictions of Indigenous communities across Asia, and high resettlement costs, the report warned.Also without tenure rights, the inflow of money into nature-based solutions such as carbon offsets and REDD+ projects could also result in massive land grabs instead of benefiting local communities.Conservation needs to adopt a human-rights based approach to deal effectively and equitably with the twin crises of climate change and biodiversity loss, according to a new report co-authored by more than 20 Indigenous and community organizations across Asia.The report, published by the NGO Rights and Resources Initiative (RRI) in February, says that without meaningful consultation of and participation by local communities, top-down conservation solutions such as “30 by 30” will only deepen inequalities while leading to the prosecution of Indigenous groups.The ",realization
18,"Dr. Sheri McKinstry is optimistic that a new national dental program will offer much-needed access to dental care across the country, but she also says it's currently unclear how it will help improve oral health in remote Indigenous communities.""I can't see it making that big of a difference in the communities because a lot of it has to do with access and getting dentists and oral-health providers into the community,"" said McKinstry, a pediatric dentist and assistant professor in the College of Dentistry at the University of Saskatchewan.As part of a supply-and-confidence agreement between the Liberals and NDP, the federal government proposed a national dental care program for families making less than $90,000 per year.It's estimated that 6.5 million people in Canada will be eligible for the program. Starting later this year, children under 12 would become eligible for the program, with a full roll out by 2025 .An existing program, Non-insured health benefits for First Nations and Inuit (NIHB), provides coverage for dental care to eligible First Nations people and Inuit. But many communities lack the dentists and resources to access care, experts say.Dr. Sheri McKinstry says that without attention on access for Indigenous communities, a national dental-care program ",neutral
19,"The fallen Christopher Columbus statue outside the Minnesota State Capitol after a group led by American Indian Movement members tore it down on June 10, 2020. (CREDIT: Tony Webster/ Flickr)A compromise proposal to create an Indigenous People’s Day in New Hampshire was killed by state House Democrats earlier this month, who argued honoring Native Americans was not enough.Columbus Day, they insisted, must die.Democrats on the House Executive Departments and Administration Committee unanimously voted HB 1173 as inexpedient to legislate, rejecting the idea of leaving both Columbus Day and Indigenous People’s Day on the calendar.“I don’t entirely understand their opposition,” said Rep. Oliver Ford (R-Chester).Ford is one of the bill’s co-sponsors, which would have established an Indigenous Peoples’ Day on Aug. 9 to coincide with World Indigenous Peoples’ Day. Ford’s bill had nothing to do with the October Columbus Day holiday. That was not good enough for progressives who want to eliminate the celebrations for Christopher Columbus, he said.“I specifically think they are separate issues,” Ford said. “If he wasn’t a nice guy, then don’t celebrate a day for him. But don’t substitute it for another day.”The other co-sponsor, Rep. Jess Edwards (R-Auburn), said people on the left have been trying ",neutral
20,"SANTIAGO: On his first day in office, Chile's president broke new ground by participating in a ceremony with indigenous peoples at the presidential palace before attending mass in Santiago's cathedral.Seated in the center of a circle in a courtyard at the presidential palace, Gabriel Boric and the First Lady, Irina Karamanos, listened one by one to concerns and wishes from representatives of seven indigenous tribes.""Generating intercultural work and a new relation between the government and indigenous peoples is vital to the construction of a just and dignified Chile,"" Boric, 36, tweeted after the ceremony.In a statement, the president's office said the ceremony ""is part of a new conception of the territory as plurinational where respect, dialogue and participation will be emphasized.""The representatives Boric met with came from the Yagan, Lican Antai, Mapuche Pewenche, Rapa Nui, Mapuche Lafkenche, Diaguita and Mapuche Futa Warria tribes.When he was sworn in on Friday, Boric broke with tradition by referring to indigenous Chileans, swearing to respect the Constitution before ""all Chilean peoples"" instead of just ""the Chilean people.""After the indigenous ceremony, Boric attended a Catholic mass at the Santiago cathedral with members of his cabinet -- noteworthy for having an average age of 42 and ",neutral
21,"Fresh Banana LeavesJessica HernandezNorth Atlantic Books, $17.95During the civil war in El Salvador that began in the 1970s, an injured Victor Hernandez hid from falling bombs beneath the fronds of a banana tree. The child soldier, a member of the Maya Ch’orti’ group indigenous to the region, made a crutch from a branch of the tree and limped toward Guatemala, toward freedom. “I strongly believe that it was this banana tree that saved my life,” he told his daughter, Jessica Hernandez, who shares the story in Fresh Banana Leaves: Healing Indigenous Landscapes Through Indigenous Science. “It is ironic because banana trees are not native to El Salvador,” he said.Jessica Hernandez, an environmental scientist, draws parallels between her father’s story and that of the banana tree. The banana tree’s journey from Southeast Asia via colonial European ships forced the resilient plant to adapt to its new home in the Americas. Similarly, her father adjusted to being displaced, eventually settling in the United States, often experiencing less-than-warm welcomes along the way.Hernandez uses her father’s stories and other first-person accounts to frame a complex discussion on the interplay between colonialism, the displacement of Indigenous peoples, land degradation, and differences between how Western researchers ",neutral
22,"Indigenous tribes who live at the mercy of climate change have made extraordinary efforts to save the planet using their ancient traditions, something that experts argue is largely ignored by modern science.Indigenous people in the Amazon forest in Brazil and in the Cross River State of Nigeria have used their inherited knowledge of nature to create reforestation programmes.Amanda Kayabi,18, lives in Samauma village in the Brazilian state of Mato Grosso. She belongs to the Kayabi indigenous tribe, one of several ethnic groups that live in the Xingu Indigenous Territory that was created in 1961 to protect the tribes from advancing settlers.Amanda Kayabi, 18, is a leader of seed collectors in Samauma village in the Xingu Indigenous Territory, Mato Grosso, Brazil (Photo: Camila Grinsztejn/Caio Correa/ISA)Members of the Yarang Women’s Movement in the Xingu Indigenous Territory comb the dense forest surrounding their villages for native seeds (Photo: Otavio Almeida/ISA)Deforestation and degradation of land now threaten their territory.“This worries me a lot, losing our forest,” said Ms Kayabi. “And water, too, that sustains all of us. We eat fish that comes from the Xingu river, we wash clothes in the river. Those who deforest contribute to the drying up of the water.”Despite assurances ",sadness
23,"Today, there are 546 federally recognized tribes. Here’s how to engage respectfully and thoughtfully with Indigenous cultures domestically.share this articleHistory is filled with stories of Indigenous tribes in what we now call the United States. While we are continually gaining more context around those stories, the conversations about Native Americans are typically in the past tense. But Sherry L. Rupert (Paiute/Washoe), CEO of the American Indian Alaska Native Tourism Association (AIANTA), says that despite misconceptions, Native culture isn’t a historic culture or a thing of the past. “Native Nations and communities are active, vibrant, rich places to visit with their own language, their own artisans, and their own songs, dance, and food,” says Rupert. According to Reclaiming Native Truth, a nonprofit project dedicated to empowering Native Americans and dispelling harmful misconceptions, 78 percent of Americans reported wanting to learn more about Native peoples, their histories, cultures, and contemporary stories. And there’s a lot more to learn. Today, there are 546 federally recognized tribes and countless more that are not. Here’s how to engage respectfully and thoughtfully with Indigenous cultures domestically. Courtesy of Frog Bay Tribal National Park/Red Cliff Band of Lake Superior Chippewa The 180-acre Frog Bay Tribal National Park, ",approval
24,"The recent decision by Ecuador’s highest court in favour of Indigenous people’s rights was a huge victory, not just for them but for nature too.The ruling by the country’s Constitutional Court, in favour of Indigenous people’s rights and their authority to decide on extractive projects that affect their land, upheld a landmark lower court ruling in 2018.The ruling was one of three handed down in January in favour of Indigenous communities. One (No. 273-19-JP) protects the A’i Cofán community from any extractive project on their land. Another (No. 28-19-IN) says that Indigeneous peoples’ consent will now be required for oil and mining projects throughout the Ecuadorian Amazon.The third (No. 45-15-IN) declares the water law, in force since 2014, unconstitutional because it fails to guarantee the resource as a public and communal good. Indigenous groups have long expressed concern that the law could allow for state intrusion into their rights to water and land use. The court also affirmed that reparations ordered by lower courts must be paid, by private companies and the government.The rulings are a massive victory for Ecuador’s Indigenous people, who make up 70% of the population of the Ecuadorian Amazon.The verdicts are also an undoubted blow to ",neutral
25,"CANBERRA, March 31 (Xinhua) -- Rates of incarceration and suicide among Indigenous Australians have increased for the second straight year after a landmark government agreement to address disadvantage.The Productivity Commission, the Australian federal government review agency, on Thursday published updated data on the Closing the Gap program.Established in 2008, the Closing the Gap framework aims to reduce the disadvantage faced by Aboriginal and Torres Strait Islander people.In 2020, federal state and territory governments reached an agreement with Indigenous groups on 17 new Closing the Gap targets across education, employment, justice, safety, housing, land and waters and health and wellbeing.According to Thursday's data, the suicide rate for Indigenous Australians has increased from 25 per 100,000 people in 2018 to 27.1 in 2019 and 27.9 in 2020.By comparison, the suicide rate for the entire Australian population in 2020 was 12.1 per 100,000.By June 2021 the Indigenous incarceration rate was 2,222.7 prisoners per 100,000 people, up from 2,142.9 two years ago.The figure is 10 times higher than that for the general population.Productivity Commission data revealed the life expectancy for Indigenous people born in 2015-17 was 71.6 years for males and 75.6 years for females compared to 80.2 and 83.4 years respectively for non-Indigenous ",neutral
26,"Send this page to someone via emailTHUNDER BAY, Ont. — Indigenous leaders demanded the dismantling of the Thunder Bay Police Service on Wednesday and said it should immediately be barred from carrying out major crime investigations due to what they called “repeated failures.”Earlier this month, a group of independent investigators shared a report with the Office of the Independent Police Review Director recommending the reinvestigation of 14 sudden deaths in the city dating back to between 2006 and 2019.Speaking at the Ontario legislature, Anishinabek Nation Grand Council Chief Reg Niganobe said in light of that report, it is now “painfully clear” that Indigenous people have no trust in the police force and the Thunder Bay Police Services Board.“The Thunder Bay Police Service leaves a trail of inadequate investigations and negligently managed record system and a lack of substantive oversight,” Niganobe said.“Trust is broken and every day Thunder Bay Police Service remains in control of major crime investigations is another day Indigenous people are at risk in the city.”Story continues below advertisementNiganobe and Nishnawbe Aski Nation Deputy Grand Chief Anna Betty Achneepineskum said they’re currently reviewing their options _ which include the Ontario Provincial Police _ of who can serve and ",sadness
27,"A new podcast from Fort Nisqually Living History Museum is all about Northwest stories told by Indigenous voices. Like so many thing silver linings of the past few years, it came about partly because of pandemic-inspired online programming created by museum staffer Elizabeth Rudrud.“We were really looking to find ways to continue to engage our audiences, to make sure we’re providing value for our community,” Rudrud told KIRO Newsradio. “And it really was an opportunity to just stop and re-evaluate [and] pivot.”“Fort Nisqually, being established here in 1833 in the South Sound, Native American communities were integral to all operations, working and living and purchasing and trading, and just thriving in the Puget Sound when Hudson’s Bay Company came here, so it’s a very important part of the story,” Rudrud said.“I reached out to Charlotte Basch at Puyallup Tribe and had a conversation with her on where can we begin on making sure the story is incorporated in a meaningful way into the museum’s interpretation [and] museum operations,” Rudrud continued. “And she and I identified that to do so really needs intentional effort … it needs to be something that’s not an afterthought.”“If there was an opportunity to really focus ",neutral
28,"Six Nations is one of many Indigenous communities across Canada where autism spectrum disorders (ASD) are underdiagnosed.Jacqueline Smith, Program Supervisor at Six Nations Child and Youth, says diagnostic rates are lower here even though statistics are scarce on the reserve.“We do not have specific stats but we do know that there is an underrepresentation in this community compared to children identified/diagnoses in surrounding areas,” said Smith. “This is one of the main reasons why we are expanding our programs on Six Nations to ensure we are able to support children with ASD and their families.”This Saturday, April 2, marks annual World Autism Awareness Day.There is no dedicated autism support program at Six Nations Health Services – yet.The team at Six Nations Health is working with Autism Ontario to increase programming on the reserve to help people with ASD.Autism Spectrum Disorder refers to a range of symptoms that can affect a person emotionally, intellectually, socially and behaviourally. People with ASD can have interpersonal difficulties, trouble recognizing social cues others take for granted, rigid behaviour patterns and obsessions with routine or certain subjects, dislike socializing, refuse to make eye contact, and engage in “stimming” behaviours (self-stimulation) such as hand-flapping, rocking back and ",neutral
29,"Greens Senator Dorinda Cox has taken a swipe at the federal budget as a ""last-ditch play for votes"". ",neutral
30,"Indigenous communities are increasingly being recognised as important voices in the global response to climate changeParis (AFP) – Long portrayed as victims of climate change, indigenous peoples who have struggled for years to protect ancestral lands and ways of life from destruction are finally being recognised as playing an important role in defending precious environments.Advertising Read more""In the face of climatic, economic and health catastrophes, reality forces the recognition of indigenous peoples' knowledge, and a new relationship of respect,"" said Gregorio Mirabal, head of the COICA indigenous organisation.""Now we are not victims, we are the solution!""That message was reinforced in a sweeping report by UN climate experts on the impacts and adaptation to global warming, released on Monday, that outlined in harrowing detail the challenges facing humanity and the planet they depend upon for survival.It highlights that many indigenous peoples are on the frontlines of global warming, such as those in the Arctic whose communities and traditions are threatened by melting sea ice and rising waters.But it also underscores what these communities and their intimate knowledge of nature -- transmitted from generation to generation -- can bring to the fight against climate change, in particular to limiting its impacts.That is ",approval
31,"Costly and technical reporting: key barriers for Indigenous people in carbon tradingOn the sidelines of the UN Convention on Biological Diversity in Geneva, Indigenous peoples leader Jennifer Tauli Corpuz talks to Eco-Business about the challenges of earning from carbon trading in Asia and the Pacific.The Kalanguya Indigenous people protect the forests and watersheds of Nueva Vizcaya in the Cordillera Administrative Region in northern Philippines: Image: Yves Picq, CC BY-SA 4.0, via Wikimedia Commons ",neutral
32,"Wealth Generation is a fundamental objective of colonisation, and is primarily generated through the extraction and exploitation of resources away from First Nations people’s and concentrated into the hands of settlers and their corporations.The extraction of resources in Australia is not limited to what can be blasted and dug out of the ground, it can include what grows on top of the traditional lands of Aboriginal people.Since 1845, West Australian native sandalwood has been a significant resource for colonial governments and corporations— today, It now represents an important opportunity for financial independence for the First Nations people.Sandalwood has very high economic value, the oils in the wood are in high demand and lots can be priced at $US15,000 to $US17,000 per tonne.The Aboriginal-owned and run sandalwood industry is gaining momentum with investment from native title communities and enterprises, and WA Government support.There are calls, however, for the industry to shift to plantation grown sandalwood only and to phase-out of wild sandalwood harvesting altogether in WA.This could severely impact this promising economic development avenue for First Nations communities on sandalwood country.Colonial settler business and government interests for more than a century have severely depleted sandalwood populations, while in parallel these stakeholders ",neutral
33,"Cognisant of the devastating effects of climate change on Small Island Developing States (SIDs), Guyana’s Minister of Agriculture Zulfikar Mustapha has underscored the need for financing to be equally available for indigenous people and small farmers across the Caribbean region.The minister’s call was made during the 37th Session of the United Nations (UN) Food and Agriculture Organization (FAO’s) Regional Conference for Latin America and the Caribbean in Quito, Ecuador where new strategies to combat climate change were shared.“We would like to see a reference of a financial mechanism that makes resources readily and equally available for smart, small adaptive, and unformed research targeting small farming communities and indigenous people,” Mustapha urged.With the effects of climate change already seen and experienced, the Agriculture Minister noted that the world has arrived at the point where “strong decisions” need to be made on what is necessary to move forward.His remarks were also supported by the Minister of Agriculture, Forestry, Fisheries, Rural Transformation, Industry and Labour of St. Vincent and the Grenadines Saboto Caesar who urged that even more time, money and effort are critical to developing an apt climate strategy for SIDs.On that point, Mustapha supported Caesar’s call for a marine resources survey ",approval
